nu_cm-1,alpha
2044.000,0.000000e+00
2044.001,0.000000e+00
2044.002,0.000000e+00
2044.003,0.000000e+00
2044.004,0.000000e+00
2044.005,0.000000e+00
2044.006,0.000000e+00
2044.007,0.000000e+00
2044.008,0.000000e+00
2044.009,0.000000e+00
2044.010,0.000000e+00
2044.011,0.000000e+00
2044.012,0.000000e+00
2044.013,0.000000e+00
2044.014,0.000000e+00
2044.015,0.000000e+00
2044.016,0.000000e+00
2044.017,0.000000e+00
2044.018,0.000000e+00
2044.019,0.000000e+00
2044.020,0.000000e+00
2044.021,0.000000e+00
2044.022,0.000000e+00
2044.023,0.000000e+00
2044.024,0.000000e+00
2044.025,0.000000e+00
2044.026,0.000000e+00
2044.027,0.000000e+00
2044.028,0.000000e+00
2044.029,0.000000e+00
2044.030,0.000000e+00
2044.031,0.000000e+00
2044.032,0.000000e+00
2044.033,0.000000e+00
2044.034,0.000000e+00
2044.035,0.000000e+00
2044.036,0.000000e+00
2044.037,0.000000e+00
2044.038,0.000000e+00
2044.039,0.000000e+00
2044.040,0.000000e+00
2044.041,0.000000e+00
2044.042,0.000000e+00
2044.043,0.000000e+00
2044.044,0.000000e+00
2044.045,0.000000e+00
2044.046,0.000000e+00
2044.047,0.000000e+00
2044.048,0.000000e+00
2044.049,0.000000e+00
2044.050,0.000000e+00
2044.051,0.000000e+00
2044.052,0.000000e+00
2044.053,0.000000e+00
2044.054,0.000000e+00
2044.055,0.000000e+00
2044.056,0.000000e+00
2044.057,0.000000e+00
2044.058,0.000000e+00
2044.059,0.000000e+00
2044.060,0.000000e+00
2044.061,0.000000e+00
2044.062,0.000000e+00
2044.063,0.000000e+00
2044.064,0.000000e+00
2044.065,0.000000e+00
2044.066,0.000000e+00
2044.067,0.000000e+00
2044.068,0.000000e+00
2044.069,0.000000e+00
2044.070,0.000000e+00
2044.071,0.000000e+00
2044.072,0.000000e+00
2044.073,0.000000e+00
2044.074,0.000000e+00
2044.075,0.000000e+00
2044.076,0.000000e+00
2044.077,0.000000e+00
2044.078,0.000000e+00
2044.079,0.000000e+00
2044.080,0.000000e+00
2044.081,0.000000e+00
2044.082,0.000000e+00
2044.083,0.000000e+00
2044.084,0.000000e+00
2044.085,0.000000e+00
2044.086,0.000000e+00
2044.087,0.000000e+00
2044.088,0.000000e+00
2044.089,0.000000e+00
2044.090,0.000000e+00
2044.091,0.000000e+00
2044.092,0.000000e+00
2044.093,0.000000e+00
2044.094,0.000000e+00
2044.095,0.000000e+00
2044.096,0.000000e+00
2044.097,0.000000e+00
2044.098,0.000000e+00
2044.099,0.000000e+00
2044.100,0.000000e+00
2044.101,0.000000e+00
2044.102,0.000000e+00
2044.103,0.000000e+00
2044.104,0.000000e+00
2044.105,0.000000e+00
2044.106,0.000000e+00
2044.107,0.000000e+00
2044.108,0.000000e+00
2044.109,0.000000e+00
2044.110,0.000000e+00
2044.111,0.000000e+00
2044.112,0.000000e+00
2044.113,0.000000e+00
2044.114,0.000000e+00
2044.115,0.000000e+00
2044.116,0.000000e+00
2044.117,0.000000e+00
2044.118,0.000000e+00
2044.119,0.000000e+00
2044.120,0.000000e+00
2044.121,0.000000e+00
2044.122,0.000000e+00
2044.123,0.000000e+00
2044.124,0.000000e+00
2044.125,0.000000e+00
2044.126,0.000000e+00
2044.127,0.000000e+00
2044.128,0.000000e+00
2044.129,0.000000e+00
2044.130,0.000000e+00
2044.131,0.000000e+00
2044.132,0.000000e+00
2044.133,0.000000e+00
2044.134,0.000000e+00
2044.135,0.000000e+00
2044.136,0.000000e+00
2044.137,0.000000e+00
2044.138,0.000000e+00
2044.139,0.000000e+00
2044.140,0.000000e+00
2044.141,0.000000e+00
2044.142,0.000000e+00
2044.143,0.000000e+00
2044.144,0.000000e+00
2044.145,0.000000e+00
2044.146,0.000000e+00
2044.147,0.000000e+00
2044.148,0.000000e+00
2044.149,0.000000e+00
2044.150,0.000000e+00
2044.151,0.000000e+00
2044.152,0.000000e+00
2044.153,0.000000e+00
2044.154,0.000000e+00
2044.155,0.000000e+00
2044.156,0.000000e+00
2044.157,0.000000e+00
2044.158,0.000000e+00
2044.159,0.000000e+00
2044.160,0.000000e+00
2044.161,0.000000e+00
2044.162,0.000000e+00
2044.163,0.000000e+00
2044.164,0.000000e+00
2044.165,0.000000e+00
2044.166,0.000000e+00
2044.167,0.000000e+00
2044.168,0.000000e+00
2044.169,0.000000e+00
2044.170,0.000000e+00
2044.171,0.000000e+00
2044.172,0.000000e+00
2044.173,0.000000e+00
2044.174,0.000000e+00
2044.175,0.000000e+00
2044.176,0.000000e+00
2044.177,0.000000e+00
2044.178,0.000000e+00
2044.179,0.000000e+00
2044.180,0.000000e+00
2044.181,0.000000e+00
2044.182,0.000000e+00
2044.183,0.000000e+00
2044.184,0.000000e+00
2044.185,0.000000e+00
2044.186,0.000000e+00
2044.187,0.000000e+00
2044.188,0.000000e+00
2044.189,0.000000e+00
2044.190,0.000000e+00
2044.191,0.000000e+00
2044.192,0.000000e+00
2044.193,0.000000e+00
2044.194,0.000000e+00
2044.195,0.000000e+00
2044.196,0.000000e+00
2044.197,0.000000e+00
2044.198,0.000000e+00
2044.199,0.000000e+00
2044.200,0.000000e+00
2044.201,0.000000e+00
2044.202,0.000000e+00
